,round,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,played_position,points,on_field,feed_id,first_name,last_name,team,position,round_number_alt,source
174,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,377.0,FWD,53.0,True,293845,Jeremy,Cameron,GWS,FWD,R2,Draft
175,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,377.0,FWD,49.0,True,293845,Jeremy,Cameron,GWS,FWD,R3,Draft
176,4.0,10857.0,189.0,Anthony,The Full Bonty,377.0,FWD,92.0,True,293845,Jeremy,Cameron,GWS,FWD,R4,Waiver
177,5.0,10857.0,189.0,Anthony,The Full Bonty,377.0,FWD,86.0,True,293845,Jeremy,Cameron,GWS,FWD,R5,Waiver
178,6.0,10857.0,189.0,Anthony,The Full Bonty,377.0,FWD,119.0,True,293845,Jeremy,Cameron,GWS,FWD,R6,Waiver
179,7.0,10857.0,189.0,Anthony,The Full Bonty,377.0,FWD,105.0,True,293845,Jeremy,Cameron,GWS,FWD,R7,Waiver
180,8.0,10857.0,189.0,Anthony,The Full Bonty,377.0,FWD,48.0,True,293845,Jeremy,Cameron,GWS,FWD,R8,Waiver
181,9.0,10857.0,189.0,Anthony,The Full Bonty,377.0,FWD,63.0,True,293845,Jeremy,Cameron,GWS,FWD,R9,Waiver
182,10.0,10857.0,189.0,Anthony,The Full Bonty,377.0,FWD,88.0,True,293845,Jeremy,Cameron,GWS,FWD,R10,Waiver
183,11.0,10857.0,189.0,Anthony,The Full Bonty,377.0,FWD,0.0,False,293845,Jeremy,Cameron,GWS,FWD,R11,Waiver
184,12.0,10857.0,189.0,Anthony,The Full Bonty,377.0,FWD,23.0,True,293845,Jeremy,Cameron,GWS,FWD,R12,Waiver
185,13.0,10857.0,189.0,Anthony,The Full Bonty,377.0,FWD,45.0,False,293845,Jeremy,Cameron,GWS,FWD,R13,Waiver
186,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,232.0,FWD,66.0,True,1002232,Andrew,Brayshaw,FRE,FWD MID,R1,Draft
187,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,232.0,FWD,88.0,False,1002232,Andrew,Brayshaw,FRE,FWD MID,R2,Draft
